file_name,action_label,action_label_names,instrument_label,verb_label,target_label,phase_label
video01_clip_0_4.mp4,[7],"['grasper,grasp,gallbladder']",[0],[0],[0],[1]
video01_clip_10_19.mp4,[7],"['grasper,grasp,gallbladder']",[0],[0],[0],[1]
video01_clip_108_135.mp4,[96],"['hook,null_verb,null_target']",[2],[9],[14],[1]
video01_clip_136_171.mp4,"[7, 96]","['grasper,grasp,gallbladder', 'hook,null_verb,null_target']","[0, 2]","[0, 9]","[0, 14]","[1, 1]"
video01_clip_172_176.mp4,[96],"['hook,null_verb,null_target']",[2],[9],[14],[1]
video01_clip_177_189.mp4,"[7, 96]","['grasper,grasp,gallbladder', 'hook,null_verb,null_target']","[0, 2]","[0, 9]","[0, 14]","[1, 1]"
video01_clip_251_271.mp4,[58],"['hook,dissect,cystic_duct']",[2],[2],[2],[1]
video01_clip_276_290.mp4,[7],"['grasper,grasp,gallbladder']",[0],[0],[0],[1]
video01_clip_291_297.mp4,"[7, 82]","['grasper,grasp,gallbladder', 'irrigator,aspirate,fluid']","[0, 5]","[0, 6]","[0, 6]","[1, 1]"
video01_clip_302_311.mp4,"[7, 82]","['grasper,grasp,gallbladder', 'irrigator,aspirate,fluid']","[0, 5]","[0, 6]","[0, 6]","[1, 1]"
video01_clip_328_362.mp4,"[7, 23]","['grasper,grasp,gallbladder', 'bipolar,coagulate,blood_vessel']","[0, 1]","[0, 3]","[0, 5]","[1, 1]"
video01_clip_367_386.mp4,"[7, 23]","['grasper,grasp,gallbladder', 'bipolar,coagulate,blood_vessel']","[0, 1]","[0, 3]","[0, 5]","[1, 1]"
video01_clip_406_414.mp4,[82],"['irrigator,aspirate,fluid']",[5],[6],[6],[1]
video01_clip_415_424.mp4,"[7, 82]","['grasper,grasp,gallbladder', 'irrigator,aspirate,fluid']","[0, 5]","[0, 6]","[0, 6]","[1, 1]"
video01_clip_425_432.mp4,[7],"['grasper,grasp,gallbladder']",[0],[0],[0],[1]
video01_clip_433_466.mp4,"[7, 23]","['grasper,grasp,gallbladder', 'bipolar,coagulate,blood_vessel']","[0, 1]","[0, 3]","[0, 5]","[1, 1]"
video01_clip_471_475.mp4,[34],"['bipolar,dissect,cystic_duct']",[1],[2],[2],[1]
video01_clip_484_492.mp4,[52],"['hook,coagulate,liver']",[2],[3],[8],[1]
video01_clip_496_504.mp4,[60],"['hook,dissect,gallbladder']",[2],[2],[0],[1]
video01_clip_524_529.mp4,[17],"['grasper,retract,gallbladder']",[0],[1],[0],[1]
video01_clip_538_551.mp4,[7],"['grasper,grasp,gallbladder']",[0],[0],[0],[1]
video01_clip_554_558.mp4,[7],"['grasper,grasp,gallbladder']",[0],[0],[0],[1]
video01_clip_567_580.mp4,"[7, 17, 60]","['grasper,grasp,gallbladder', 'grasper,retract,gallbladder', 'hook,dissect,gallbladder']","[0, 0, 2]","[0, 1, 2]","[0, 0, 0]","[1, 1, 1]"
video01_clip_583_620.mp4,"[7, 17, 60]","['grasper,grasp,gallbladder', 'grasper,retract,gallbladder', 'hook,dissect,gallbladder']","[0, 0, 2]","[0, 1, 2]","[0, 0, 0]","[1, 1, 1]"
video01_clip_621_650.mp4,[60],"['hook,dissect,gallbladder']",[2],[2],[0],[1]
video01_clip_658_669.mp4,[7],"['grasper,grasp,gallbladder']",[0],[0],[0],[1]
video01_clip_690_697.mp4,[7],"['grasper,grasp,gallbladder']",[0],[0],[0],[1]
video01_clip_698_745.mp4,"[7, 79]","['grasper,grasp,gallbladder', 'clipper,clip,cystic_duct']","[0, 4]","[0, 4]","[0, 2]","[1, 1]"
video01_clip_763_770.mp4,[7],"['grasper,grasp,gallbladder']",[0],[0],[0],[1]
video01_clip_774_783.mp4,[7],"['grasper,grasp,gallbladder']",[0],[0],[0],[1]
video01_clip_788_795.mp4,[94],"['grasper,null_verb,null_target']",[0],[9],[14],[1]
video01_clip_815_843.mp4,"[7, 79]","['grasper,grasp,gallbladder', 'clipper,clip,cystic_duct']","[0, 4]","[0, 4]","[0, 2]","[1, 1]"
video01_clip_844_859.mp4,[7],"['grasper,grasp,gallbladder']",[0],[0],[0],[1]
video01_clip_860_876.mp4,"[7, 69]","['grasper,grasp,gallbladder', 'scissors,cut,cystic_duct']","[0, 3]","[0, 5]","[0, 2]","[1, 1]"
video01_clip_877_882.mp4,[7],"['grasper,grasp,gallbladder']",[0],[0],[0],[1]
video01_clip_894_920.mp4,[60],"['hook,dissect,gallbladder']",[2],[2],[0],[1]
video01_clip_936_960.mp4,[82],"['irrigator,aspirate,fluid']",[5],[6],[6],[1]
video01_clip_964_970.mp4,[82],"['irrigator,aspirate,fluid']",[5],[6],[6],[1]
video01_clip_972_977.mp4,[82],"['irrigator,aspirate,fluid']",[5],[6],[6],[1]
video01_clip_981_987.mp4,[82],"['irrigator,aspirate,fluid']",[5],[6],[6],[1]
video01_clip_990_995.mp4,[82],"['irrigator,aspirate,fluid']",[5],[6],[6],[1]
video01_clip_1010_1025.mp4,[24],"['bipolar,coagulate,cystic_artery']",[1],[3],[3],[1]
video01_clip_1100_1110.mp4,"[17, 60]","['grasper,retract,gallbladder', 'hook,dissect,gallbladder']","[0, 2]","[1, 2]","[0, 0]","[1, 1]"
video01_clip_1111_1115.mp4,[60],"['hook,dissect,gallbladder']",[2],[2],[0],[1]
video01_clip_1118_1157.mp4,[60],"['hook,dissect,gallbladder']",[2],[2],[0],[1]
